group,phrase,freq_skfo_30d
konkurenty,iiko,1243
konkurenty,r keeper,229
konkurenty,quick resto,102
konkurenty,айко программа,20
konkurenty,iiko цена,10
konkurenty,restik,10
konkurenty,r keeper цена,4
konkurenty,аналог iiko,0
konkurenty,квик ресто,16
programma,программа для кафе,77
programma,программа для ресторана,61
programma,программа для кофейни,30
programma,учет для кафе программа,10
programma,программа для бара,7
programma,по для общепита,179
avtomatizaciya,автоматизация ресторана,13
avtomatizaciya,автоматизация кафе,5
avtomatizaciya,автоматизация кофейни,2
qr-menu,онлайн меню для кафе,17
qr-menu,меню по qr коду,14
qr-menu,создать меню онлайн для кафе,13
qr-menu,электронное меню для ресторана,4
qr-menu,qr меню для кафе,2
oficiant,приложение для официанта,19
oficiant,программа для официантов,11
oficiant,терминал официанта,4
kds,экран повара,14
kds,kds для кухни,2
kds,экран кухни для ресторана,0
sklad,себестоимость блюд программа,8
sklad,калькуляция блюд программа,2
sklad,складской учет в кафе,0
kassa,касса для кафе,29
kassa,учет в кафе,26
kassa,касса для кофейни,5
